City,Country,Date,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Lethem,GY,1541291853,3.38,-59.8,79.13,88,24,4.54
geresk,,,,,,,,
Dingle,PH,1541291822,11,122.67,81.15,82,36,10.92
Loanda,BR,1541291998,-22.93,-53.14,75.89,87,80,3.38
rungata,,,,,,,,
Pacific Grove,US,1541289300,36.62,-121.92,80.6,56,1,3.36
Antofagasta,CL,1541289600,-23.65,-70.4,60.8,72,75,9.17
Annau,TM,1541289600,37.89,58.52,33.8,64,0,4.7
San Pedro,AR,1541291868,-33.68,-59.66,67.38,60,0,8.52
Shiyan,CN,1541292005,32.65,110.78,44.61,78,0,4.21
Tevaitoa,PF,1541292006,-16.78,-151.5,78.54,100,24,3.04
Mosquera,CO,1541289600,4.71,-74.23,53.6,87,40,3.36
Zeven,DE,1541290800,53.3,9.28,37.4,100,0,4.7
Goedereede,NL,1541291100,51.82,3.98,50,70,56,20.8
Huambo,AO,1541292012,-12.78,15.73,57.75,93,64,2.71
sorkjosen,,,,,,,,
Urusha,RU,1541292014,54.05,122.9,4.2,77,0,2.53
Minusinsk,RU,1541289600,53.7,91.7,30.2,68,0,15.66
Shahgarh,IN,1541292017,24.31,79.12,80.39,41,100,4.27
Gillette,US,1541289180,44.29,-105.5,33.98,78,1,6.06
Las Margaritas,MX,1541292020,16.32,-91.98,64.95,95,76,2.37
Emba,CY,1541291400,34.81,32.42,68,59,20,8.05
Cap Malheureux,MU,1541289600,-19.98,57.61,71.6,83,40,5.82
Bubaque,GW,1541286000,11.28,-15.83,80.6,83,0,4.7
Mount Gambier,AU,1541291818,-37.83,140.78,60.18,78,92,6.73
akyab,,,,,,,,
Bathsheba,BB,1541289600,13.22,-59.52,82.4,74,40,17.22
tabiauea,,,,,,,,
chagda,,,,,,,,
Hawkesbury,CA,1541289600,45.61,-74.6,39.2,78,90,14.99
Moron,VE,1541292032,10.49,-68.2,71.61,92,92,2.86
Dhadar,IN,1541292033,28.33,75.06,52.8,90,0,3.87
vaitupu,,,,,,,,
pietersburg,,,,,,,,
gorno-chuyskiy,,,,,,,,
Ostrovnoy,RU,1541291991,68.05,39.51,32.19,100,88,3.38
Grand Gaube,MU,1541289600,-20.01,57.66,71.6,83,40,5.82
Corner Brook,CA,1541289600,48.95,-57.95,59,100,90,12.75
Sabang,PH,1541292041,13.72,123.58,80.16,97,88,9.13
Codrington,AU,1541291785,-28.95,153.24,84.93,62,0,5.39
Lagoa,PT,1541289600,37.14,-8.45,55.4,93,0,3.36
Wodonga,AU,1541289600,-36.12,146.89,71.6,33,12,4.7
Meadow Lake,CA,1541289600,54.13,-108.44,33.8,86,75,14.99
Sao Joao da Barra,BR,1541286000,-21.64,-41.05,77,83,0,9.17
Verkhnyaya Balkariya,RU,1541289600,43.13,43.46,37.4,93,0,4.47
Lynn Haven,US,1541289480,30.25,-85.65,64.22,83,1,3.36
Suluq,LY,1541288760,31.67,20.25,66.2,55,0,25.28
Oni,GE,1541292052,42.59,43.44,31.34,70,0,2.59
mys shmidta,,,,,,,,
Erenhot,CN,1541292054,43.65,111.97,18.11,78,0,4.38
Vilyuysk,RU,1541291730,63.75,121.63,9.83,68,68,6.51
Tungor,RU,1541292057,53.39,142.95,30.12,84,80,22.21
bolungarvik,,,,,,,,
Benguela,AO,1541292059,-12.58,13.4,74.36,100,48,6.73
Manokwari,ID,1541292060,-0.87,134.08,83.18,100,12,4.54
Beira,ES,1541291400,43.2,-8.36,53.6,93,32,5.82
Biltine,TD,1541292063,14.53,20.93,64.19,57,0,3.76
Kargasok,RU,1541292064,59.06,80.87,16.31,73,68,5.55
Palmer,US,1541289360,61.6,-149.11,33.08,84,1,3.87
Tiksi,RU,1541291753,71.64,128.87,-1.83,70,68,9.57
Gazli,UZ,1541292067,40.13,63.45,23.06,78,0,4.72
Yining,CN,1541292069,29.04,114.56,53.34,86,0,2.3
Treinta y Tres,UY,1541292070,-33.23,-54.39,60.59,82,8,6.85
Edson,CA,1541290020,53.59,-116.44,37.4,100,40,2.24
Adrar,DZ,1541289600,27.87,-0.29,60.8,41,0,5.82
Port Hedland,AU,1541289600,-20.31,118.58,91.4,29,0,8.05
Bethal,ZA,1541292074,-26.46,29.47,48.98,84,0,7.63
Banda Aceh,ID,1541292076,5.56,95.32,75.44,100,48,2.71
Sobolevo,RU,1541292040,54.43,31.9,48.53,99,68,9.13
Qingquan,TW,1541289600,24.58,121.1,77,94,75,11.41
Chumikan,RU,1541292079,54.72,135.31,21.66,94,0,14.83
Fernie,CA,1541289600,49.5,-115.06,46.4,65,90,9.17
Chuy,UY,1541291757,-33.69,-53.46,57.66,95,20,4.27
Bandarbeyla,SO,1541291884,9.49,50.81,79.13,100,92,14.83
Provideniya,RU,1541291595,64.42,-173.23,35.39,100,44,5.73
Salalah,OM,1541289000,17.01,54.1,75.2,60,0,3.36
Quatre Cocos,MU,1541289600,-20.21,57.76,71.6,83,40,5.82
Nabire,ID,1541292087,-3.36,135.5,75.84,86,44,2.19
Wladyslawowo,PL,1541291400,54.79,18.4,33.8,100,0,1.12
Kasongo-Lunda,CD,1541292090,-6.48,16.82,70.71,98,92,0.74
Plettenberg Bay,ZA,1541291822,-34.05,23.37,68.19,77,0,2.53
Mkushi,ZM,1541292092,-13.61,29.4,69.41,62,24,15.39
Misratah,LY,1541292093,32.38,15.09,71.16,92,44,10.02
Eirunepe,BR,1541292094,-6.66,-69.87,82.5,63,48,3.71
Crowley,US,1541290500,30.21,-92.37,66.02,73,1,12.82
Saint-Augustin,FR,1541291400,44.83,-0.61,41,100,56,2.24
Zvecka,RS,1541289600,44.64,20.16,57.2,67,0,9.17
Berlevag,NO,1541291979,70.86,29.09,36.56,100,92,4.72
La Palma,CO,1541292101,5.36,-74.39,68.64,92,48,1.97
Saint Anthony,US,1541289360,43.97,-111.68,46.04,47,90,10.29
Ayan,TR,1541291946,40.67,33.6,26.84,72,0,2.08
Lata,IN,1541291893,30.78,78.62,38.85,100,32,1.81
Cabo San Lucas,MX,1541288760,22.89,-109.91,78.8,61,5,9.17
Avallon,FR,1541292107,47.49,3.91,33.72,84,0,3.04
Yatou,CM,1541289600,3.63,9.81,77,94,40,2.24
Banff,CA,1541291983,51.18,-115.57,35.16,54,68,2.04
Eydhafushi,MV,1541291849,5.1,73.07,82.46,100,12,4.27
Vilhena,BR,1541292113,-12.74,-60.15,76.47,86,0,2.59
Saint-Pierre,FR,1541289600,48.95,4.24,35.6,100,90,5.82
bairiki,,,,,,,,
tsihombe,,,,,,,,
Tema,GH,1541289600,5.66,-0.01,80.6,88,20,5.82
Homa Bay,KE,1541292119,-0.53,34.45,67.47,100,12,4.05
Los Llanos de Aridane,ES,1541291400,28.66,-17.92,71.6,64,44,17.22
raga,,,,,,,,
Gao,ML,1541292123,16.28,-0.04,70.35,35,0,3.76
Omboue,GA,1541292124,-1.57,9.26,79.49,100,92,8.12
Tazovskiy,RU,1541292125,67.47,78.7,14.46,84,32,10.76
Saldanha,PT,1541291667,41.42,-6.55,35.79,84,0,2.71
Dunedin,NZ,1541291716,-45.87,170.5,47.81,71,76,20.2
Troina,IT,1541289000,37.79,14.6,66.2,93,75,8.05
Arroyo,US,1541289240,41.39,-78.88,39.92,69,20,6.93
Pasni,PK,1541292131,25.26,63.48,73.41,91,8,30.4
Port Blair,IN,1541291877,11.67,92.75,83.67,100,0,13.94
Itarema,BR,1541292059,-2.92,-39.92,78.68,81,0,15.17
Nemuro,JP,1541289600,43.32,145.57,57.2,54,0,3.36
Paamiut,GL,1541291885,61.99,-49.67,29.85,100,0,12.26
Symington,GB,1541290800,55.6,-3.6,55.4,82,40,18.34
Sangar,RU,1541292138,63.92,127.47,0.06,74,24,2.98
Guanica,PR,1541289000,17.97,-66.91,75.2,100,75,6.93
Anuppur,IN,1541292140,23.12,81.7,63.11,93,0,2.82
Prigen,ID,1541292142,-7.7,112.63,73.86,68,8,2.48
Amapa,HN,1541289600,15.09,-87.97,82.4,78,40,6.93
Porangatu,BR,1541292144,-13.44,-49.14,77.33,79,76,2.82
Mvuma,ZW,1541292145,-19.28,30.53,58.56,88,24,10.58
Mattru,SL,1541292147,7.62,-11.83,75.21,95,64,1.52
Viedma,AR,1541292148,-40.81,-62.99,64.86,42,24,11.65
Takoradi,GH,1541292149,4.89,-1.75,79.35,100,88,4.05
Scottsboro,US,1541291700,34.67,-86.03,56.12,87,1,3.36
Zalantun,CN,1541292151,48,122.72,21.21,41,0,5.55
Mwinilunga,ZM,1541292153,-11.73,24.43,65.31,92,80,3.98
Salinopolis,BR,1541292154,-0.61,-47.36,82.41,94,20,13.56
barawe,,,,,,,,
Ipueiras,BR,1541292157,-6.66,-37.55,85.29,42,32,10.09
Monrovia,LR,1541289600,6.33,-10.8,77,94,75,3.36
Shenzhen,CN,1541291400,22.54,114.05,73.4,83,20,10.29
Te Anau,NZ,1541292013,-45.41,167.72,43.53,89,92,12.88
Mineiros,BR,1541292162,-17.57,-52.55,70.76,97,76,2.71
Copperas Cove,US,1541290500,31.12,-97.9,71.96,60,1,5.82
San Andres,PH,1541292165,13.32,122.68,82.05,100,0,15.05
Shitkino,RU,1541292166,56.37,98.35,28.77,62,80,9.8
Nampa,US,1541290500,43.57,-116.56,57.92,43,75,5.82
Hue,VN,1541291400,16.47,107.58,75.2,100,75,1.12
Olinda,EC,1541289600,-2.03,-79.75,78.8,74,40,10.29
jujuy,,,,,,,,
Dakar,SN,1541289600,14.69,-17.45,75.2,73,20,9.17
Assiniboia,CA,1541292173,49.63,-105.99,33.81,85,48,8.41
Moranbah,AU,1541292174,-22,148.04,84.21,45,0,6.4
Flin Flon,CA,1541292176,54.77,-101.88,30.12,90,80,9.31
ardistan,,,,,,,,
Gamba,CN,1541292178,28.28,88.52,-4.22,58,0,3.31
Ternate,PH,1541289600,14.29,120.72,86,66,40,3.36
Brodokalmak,RU,1541289600,55.57,62.07,35.6,74,75,11.18
Padang,ID,1541292182,-0.92,100.36,81.56,100,32,5.1
Waddan,LY,1541292183,29.16,16.14,57.3,62,0,6.11
Mount Isa,AU,1541289600,-20.73,139.49,95,19,0,10.29
Pokhara,NP,1541292187,28.21,83.99,41.1,76,0,1.97
Trairi,BR,1541292188,-3.28,-39.27,81.15,98,20,19.3
Ponta Delgada,PT,1541289600,37.73,-25.67,64.4,82,20,4.7
Jasper,US,1541291700,33.83,-87.28,60.08,100,0,5.28
Nelson,CA,1541289600,49.49,-117.29,46.4,81,90,2.24
Touho,NC,1541292193,-20.78,165.23,81.11,42,8,8.75
Aksu,KZ,1541289600,52.04,76.93,28.4,92,90,3.2
Eldorado,MX,1541288400,24.32,-107.36,86,51,5,6.93
Urengoy,RU,1541291598,65.96,78.37,9.33,85,8,13.38
Kupang,ID,1541292198,-10.16,123.6,85.47,79,0,9.57
Saryozek,KZ,1541292200,44.36,77.98,23.91,88,88,2.82
Palana,RU,1541292201,59.08,159.95,28.59,85,88,3.98
Half Moon Bay,US,1541289360,37.46,-122.43,84.02,49,75,14.99
Kieta,PG,1541292203,-6.22,155.63,82.32,100,76,5.5
Srednekolymsk,RU,1541291809,67.46,153.71,-3.5,76,80,4.5
Teruel,ES,1541291400,40.34,-1.11,44.6,87,0,6.93
palabuhanratu,,,,,,,,
Srednebelaya,RU,1541289600,50.66,128.01,19.4,48,0,8.95
Tongliao,CN,1541292117,43.61,122.27,35.39,63,92,12.77
Price,US,1541289180,39.6,-110.81,48.02,31,1,16.11
Ambilobe,MG,1541291796,-13.19,49.05,69.59,92,12,3.09
Mungwi,ZM,1541292212,-10.17,31.37,69.86,55,32,9.57
Chifeng,CN,1541291936,42.27,118.96,30.66,88,92,7.56
Kasempa,ZM,1541292215,-13.46,25.83,62.52,95,76,2.19
Sao Felix do Xingu,BR,1541292216,-6.64,-51.99,77.1,92,44,2.04
Zarubino,RU,1541292217,42.65,131.06,51.27,96,0,9.35
Egvekinot,RU,1541292055,66.32,-179.17,26.84,90,68,4.99
Pevek,RU,1541291850,69.7,170.27,12.12,100,80,4.88
Auki,NG,1541291838,12.18,6.51,65.67,59,8,3.6
Shubarshi,KZ,1541292222,48.59,57.19,27.56,74,56,3.04
Ullapool,GB,1541292223,57.9,-5.16,52.13,94,32,31.23
Esil,KZ,1541292224,51.96,66.41,31.38,92,88,6.89
Lensk,RU,1541292225,60.71,114.91,15.86,71,76,8.57
Natal,BR,1541289600,-5.81,-35.21,80.6,74,20,11.41
Pundaguitan,PH,1541292228,6.37,126.17,81.78,100,56,2.86
Kuji,JP,1541292229,40.18,141.75,53.34,75,0,5.28
Sept-Iles,CA,1541289600,50.2,-66.38,35.6,93,90,10.29
Oistins,BB,1541289600,13.07,-59.53,82.4,74,40,17.22
Vila Franca do Campo,PT,1541289600,37.72,-25.43,64.4,82,20,4.7
kazalinsk,,,,,,,,
Sumbe,AO,1541292235,-11.2,13.84,75.84,100,92,6.11
Longkou,CN,1541292237,37.64,120.47,54.11,100,36,7.52
Penzance,GB,1541289000,50.12,-5.53,55.4,93,80,28.86
Sunrise Manor,US,1541290500,36.21,-115.07,76.46,12,1,8.05
Baherden,TM,1541292241,38.44,57.43,26.93,90,0,4.83
Marolambo,MG,1541292242,-20.05,48.13,59.19,92,92,2.3
Upington,ZA,1541289600,-28.46,21.24,77,31,0,4.7
tumannyy,,,,,,,,
Katherine,AU,1541289600,-14.47,132.26,89.6,52,44,3.36
Port Hardy,CA,1541289600,50.7,-127.42,50,100,90,13.87
Junnar,IN,1541292248,19.21,73.88,64.68,100,12,2.37
Dauphin,CA,1541292250,51.15,-100.04,29.4,83,80,3.71
Kibakwe,TZ,1541292251,-6.71,36.37,65.99,83,20,4.21
Filingue,NE,1541292252,14.35,3.32,68.69,61,0,3.04
Hervey Bay,AU,1541292253,-25.3,152.85,77.82,85,0,11.77
grand river south east,,,,,,,,
Tignere,CM,1541292256,7.37,12.65,72.29,60,88,2.82
Wattegama,LK,1541292257,7.35,80.68,69.59,100,68,2.82
nizhneyansk,,,,,,,,
Nuqui,CO,1541292259,5.71,-77.27,75.93,100,92,5.61
Qandala,SO,1541292261,11.47,49.87,59.33,100,0,4.05
Sennoy,RU,1541292262,52.16,46.96,34.04,72,92,9.64
Nago,IT,1541289000,45.88,10.89,53.6,100,20,3.36
Robertsport,LR,1541292114,6.75,-11.37,82.41,100,0,9.42
fevralsk,,,,,,,,
Samfya,ZM,1541292266,-11.37,29.56,81.06,36,64,16.35
Ketchikan,US,1541289360,55.34,-131.65,50,92,90,6.93
Rehoboth,NA,1541292269,-23.31,17.08,59.1,58,8,8.79
Fenoarivo Atsinanana,MG,1541292270,-17.38,49.41,68.33,99,88,1.74
Limaong,PH,1541289600,7.36,122.37,86,70,75,4.7
Huicungo,PE,1541292273,-7.28,-76.8,78.09,77,32,2.48
Lasa,CY,1541291400,34.92,32.53,68,59,20,8.05
Rinteln,DE,1541290800,52.19,9.08,37.4,93,0,1.12
Middleton,CA,1541289600,44.94,-65.07,59,72,75,34.45
Sakete,BJ,1541289600,6.74,2.66,80.6,88,20,2.24
Foam Lake,CA,1541292279,51.65,-103.53,32.96,80,88,10.25
Broken Hill,AU,1541292019,-31.97,141.45,76.88,43,44,8.08
Monchegorsk,RU,1541292281,67.94,32.93,31.83,100,76,3.04
Carlsbad,CZ,1541289600,50.23,12.87,48.2,100,90,4.7
Hualmay,PE,1541292124,-11.1,-77.61,66.75,73,36,5.21
Pedernales,EC,1541292285,0.07,-80.05,74.85,87,48,8.63
Gusinoye Ozero,RU,1541292286,51.11,106.26,2.22,63,0,2.75
Makakilo City,US,1541289420,21.35,-158.09,84.92,51,1,11.41
Hofn,IS,1541292108,64.25,-15.21,38.31,100,92,27.76
Molina,CL,1541289600,-35.11,-71.28,60.8,72,0,5.82
Tigil,RU,1541292097,57.8,158.67,34.08,86,0,11.1
Havoysund,NO,1541290800,71,24.66,37.4,86,20,9.17
Rantepao,ID,1541292294,-2.97,119.9,74.31,83,24,1.7
Chimore,BO,1541292295,-16.98,-65.13,78.99,85,44,3.09
Laguna,MX,1541288400,27.52,-110.01,84.2,37,75,6.93
Cancun,MX,1541288400,21.17,-86.85,77,100,75,2.24
Sarahan,IN,1541292299,31.51,77.79,14.06,100,44,1.36
potgietersrus,,,,,,,,
Saint-Georges,CA,1541292302,46.12,-70.67,35.79,100,92,15.9
Healdsburg,US,1541291700,38.61,-122.87,80.06,43,1,5.55
Novikovo,UA,1541292304,45.05,34.56,35.43,100,0,3.04
Ojinaga,US,1541292305,29.56,-104.41,68.64,24,0,5.28
Leh,IN,1541291829,34.16,77.58,5.1,80,76,0.81
Tateyama,JP,1541289600,36.66,137.31,53.6,81,75,1.12
Nachingwea,TZ,1541292309,-10.37,38.76,70.58,85,0,3.53
Ashland,US,1541289060,38.48,-82.64,48.02,58,1,3.36
Ahipara,NZ,1541291770,-35.17,173.16,64.46,75,0,18.07
Astoria,US,1541290260,46.19,-123.83,53.96,96,90,8.05
jabiru,,,,,,,,
Daru,SL,1541291856,7.99,-10.85,76.29,85,36,4.72
Byron Bay,AU,1541289600,-28.65,153.62,80.6,61,0,10.29
Otukpo,NG,1541292318,7.19,8.13,73.77,92,56,8.08
Canico,PT,1541291400,32.63,-16.85,64.4,77,75,8.05
Minab,IR,1541289600,27.15,57.07,68,20,12,6.93
Luangwa,MZ,1541292323,-15.62,30.4,75.44,62,8,15.61
Clyde River,CA,1541289600,70.47,-68.59,8.6,78,90,10.29
Bacolod,PH,1541292326,10.68,122.95,81.15,83,24,6.85
tunduru,,,,,,,,
ruatoria,,,,,,,,
Muros,ES,1541289600,42.77,-9.06,50,100,90,9.75
Qasigiannguit,GL,1541289000,68.82,-51.19,17.6,72,80,18.34
Santa Isabel do Rio Negro,BR,1541292087,-0.41,-65.02,77.73,93,8,3.31
Pocone,BR,1541292333,-16.26,-56.62,74.81,93,36,8.79
Port Augusta,AU,1541289600,-32.49,137.76,78.8,39,80,8.05
Nizhniy Kuranakh,RU,1541293354,58.84,125.49,5.19,56,0,5.55
Vurnary,RU,1541293355,55.49,46.95,37.01,98,92,11.59
Vestmannaeyjar,IS,1541293026,63.44,-20.27,36.78,98,0,25.37
New Waterford,US,1541293020,40.85,-80.61,41,88,75,4.83
Batemans Bay,AU,1541293359,-35.71,150.18,69.72,68,8,3.87
Walla Walla,US,1541292960,46.06,-118.33,60.08,56,90,6.93
tungkang,,,,,,,,
Agartala,BD,1541289600,23.83,91.28,71.6,94,88,3.6
Nova Olimpia,BR,1541293364,-14.8,-57.29,73.41,94,44,6.11
toliary,,,,,,,,
Pangody,RU,1541293366,65.85,74.49,0.78,63,24,3.31
Glens Falls,US,1541292780,43.31,-73.64,44.96,53,90,12.44
Paita,PE,1541293368,-5.09,-81.11,72.78,71,32,11.25
coetupo,,,,,,,,
Zhigalovo,RU,1541293370,54.81,105.15,15.27,60,80,3.53
Canarana,BR,1541293372,-11.69,-41.77,80.7,47,92,7.11
Banjar,ID,1541293373,-7.37,108.54,71.52,93,80,3.76
Fort Nelson,CA,1541289600,58.81,-122.69,19.4,85,90,3.36
